Country or Territory,Population,2018 Peak Pubs.,"Ratio, 1 Publisher to",% Inc. Over 2017,2018 No. Bptzd.,Av. Pio. Pubs.,No. of Congs.,Memorial Attendance
Curacao,161000,2057,78,-1,60,229,26,5259
Cyprus,885600,2659,333,2,45,454,43,4674
Czech Republic,10625449,15442,688,?,228,1274,216,26370
Denmark,5789957,14644,395,?,227,1075,173,20923
Dominica,73897,428,173,-1,17,60,10,1046
Dominican Republic,10882996,38606,282,1,1307,7234,577,113928
Ecuador,17023408,97168,175,3,4449,17887,1119,276542
El Salvador,6190216,40900,151,?,1006,5362,738,88132
Equatorial Guinea,928778,2272,409,9,165,279,22,8342
Estonia,1319133,4036,327,-1,88,510,57,6265
Ethiopia,104957000,10472,10023,1,395,2416,221,23401
Falkland Islands,2910,15,194,18,?,1,1,24
Faroe Islands,50844,123,413,-6,?,28,4,170
Fiji,912241,3250,281,1,127,505,82,11131
Finland,5513130,18324,301,?,241,2132,290,24814
France,65204153,129974,502,1,2126,15012,1687,222822
French Guiana,290384,2694,108,3,109,429,47,10535
Gabon,1853964,4604,403,4,185,609,53,11002
Gambia,2163765,246,8796,7,4,32,5,597
Georgia,3729600,18173,205,?,456,3334,219,31930
Germany,82792351,165870,499,?,2791,13998,2105,262628
Ghana,29463643,140274,210,3,6260,15639,2097,387138
Gibraltar,34733,128,271,4,4,18,2,156
Greece,10815197,28254,383,-1,524,4059,359,44777
Greenland,55877,165,339,-5,5,35,5,318
Grenada,117724,595,198,?,5,65,10,1215
Guadeloupe,403613,8332,48,1,207,708,121,19065
Guam,159358,745,214,3,11,159,10,1878
Guatemala,17368134,40490,429,1,1315,6688,884,96570
Guinea,13740608,1015,13538,8,49,119,20,4059
Guinea-Bissau,1907268,171,11154,3,8,44,3,642
Guyana,775864,3121,249,?,132,472,48,13330
Haiti,9993000,19951,501,?,995,2788,282,82913
Honduras,8429901,23430,360,?,883,4276,450,63549
Hong Kong,7448900,5571,1337,1,498,1104,63,9880
Hungary,9688847,21412,452,-2,411,1861,294,36677
Iceland,348450,387,900,2,7,55,7,713
India,1354051854,48615,27853,4,1702,7958,684,136916
Indonesia,268459957,28283,9492,2,1442,4283,492,58658
Ireland,6632457,7061,939,2,131,1048,120,11842
Israel,9055123,1808,5008,7,42,309,31,4179
Italy,60457909,251502,240,?,4307,37435,2921,417090
